# 北京市电信 IP速度测试结果 - 有效IP 8/12
# 测试时间: 2026-01-21 02:00:43
# IP:端口 速度 连接时间(ms)
49.232.181.26:6000 429.7KB/s (ping:271ms)
115.171.216.84:4000 424.0KB/s (ping:285ms)
123.249.111.29:7272 203.7KB/s (ping:257ms)
123.249.27.48:3689 171.4KB/s (ping:252ms)
113.44.198.31:2082 169.6KB/s (ping:255ms)
1.94.199.208:14265 169.0KB/s (ping:259ms)
1.92.111.226:7003 167.6KB/s (ping:263ms)
113.44.160.132:3522 156.6KB/s (ping:274ms)

# 失败统计 (4个):
# 123.57.143.3:1080 - HTTP错误
# 220.201.136.199:6688 - 不可用
# 222.129.32.179:6666 - 不可用
# 221.218.15.56:8000 - 不可用
