# 江苏电信 IP速度测试结果 - 有效IP 16/27
# 测试时间: 2026-01-25 02:09:24
# IP:端口 速度 连接时间(ms)
112.80.122.7:4022 520.1KB/s (ping:246ms)
49.85.18.193:8886 445.0KB/s (ping:259ms)
222.95.12.2:4022 442.4KB/s (ping:280ms)
114.231.135.216:8000 441.3KB/s (ping:246ms)
121.237.57.122:7000 439.4KB/s (ping:261ms)
58.212.39.119:8888 431.5KB/s (ping:268ms)
49.72.75.134:8800 429.1KB/s (ping:1278ms)
114.231.115.195:8848 424.6KB/s (ping:285ms)
114.231.33.106:8888 423.1KB/s (ping:253ms)
121.237.57.124:7000 420.6KB/s (ping:262ms)
49.71.226.200:4022 419.8KB/s (ping:262ms)
49.77.20.152:8118 418.8KB/s (ping:279ms)
114.231.139.40:8888 411.1KB/s (ping:271ms)
117.86.48.47:7777 407.2KB/s (ping:270ms)
121.226.125.17:7777 402.1KB/s (ping:266ms)
121.226.125.142:7777 177.5KB/s (ping:262ms)

# 失败统计 (11个):
# 49.66.188.9:1194 - 不可用
# 49.66.188.9:1433 - 不可用
# 49.66.188.9:2000 - 不可用
# 49.66.188.9:3306 - 不可用
# 49.66.188.9:8082 - 不可用
# 49.66.188.9:10000 - 不可用
# 49.66.188.9:10002 - 不可用
# 49.66.188.9:2082 - 不可用
# 49.66.188.9:8085 - 不可用
# 49.66.188.9:461 - 不可用
# 221.228.159.141:8888 - 链接超时
